\batomisation,"atomization (American English, not British English)",
\batomise,"atomize (American English, not British English)",
\batomiser,"atomizer (American English, not British English)",
"\bbefore nozzle","upstream of the nozzle",
"\bbefore the nozzle","upstream of the nozzle",
"\bBernoulli principle","Bernoulli equation",https://books.google.com/ngrams/graph?content=Bernoulli+equation%2C+Bernoulli+principle%2C+Bernoulli+theorem%2CBernoulli%27s+equation%2C+Bernoulli%27s+principle%2C+Bernoulli%27s+theorem%2C&case_insensitive=on&year_start=1800&year_end=2010&corpus=15&smoothing=3&share=&direct_url=t4%3B%2CBernoulli%20equation%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20equation%3B%2Cc0%3B%3BBernoulli%20Equation%3B%2Cc0%3B.t4%3B%2CBernoulli%20principle%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20principle%3B%2Cc0%3B%3BBernoulli%20Principle%3B%2Cc0%3B.t4%3B%2CBernoulli%20theorem%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20theorem%3B%2Cc0%3B%3BBernoulli%20Theorem%3B%2Cc0%3B.t4%3B%2CBernoulli%20%27s%20equation%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20%27s%20equation%3B%2Cc0%3B%3BBernoulli%20%27s%20Equation%3B%2Cc0%3B%3BBERNOULLI%20%27S%20EQUATION%3B%2Cc0%3B.t4%3B%2CBernoulli%20%27s%20principle%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20%27s%20principle%3B%2Cc0%3B%3BBernoulli%20%27s%20Principle%3B%2Cc0%3B%3BBERNOULLI%20%27S%20PRINCIPLE%3B%2Cc0%3B.t4%3B%2CBernoulli%20%27s%20theorem%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20%27s%20theorem%3B%2Cc0%3B%3BBernoulli%20%27s%20Theorem%3B%2Cc0%3B%3BBERNOULLI%20%27S%20THEOREM%3B%2Cc0
"\bBernoulli's equation","Bernoulli equation",https://books.google.com/ngrams/graph?content=Bernoulli+equation%2C+Bernoulli+principle%2C+Bernoulli+theorem%2CBernoulli%27s+equation%2C+Bernoulli%27s+principle%2C+Bernoulli%27s+theorem%2C&case_insensitive=on&year_start=1800&year_end=2010&corpus=15&smoothing=3&share=&direct_url=t4%3B%2CBernoulli%20equation%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20equation%3B%2Cc0%3B%3BBernoulli%20Equation%3B%2Cc0%3B.t4%3B%2CBernoulli%20principle%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20principle%3B%2Cc0%3B%3BBernoulli%20Principle%3B%2Cc0%3B.t4%3B%2CBernoulli%20theorem%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20theorem%3B%2Cc0%3B%3BBernoulli%20Theorem%3B%2Cc0%3B.t4%3B%2CBernoulli%20%27s%20equation%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20%27s%20equation%3B%2Cc0%3B%3BBernoulli%20%27s%20Equation%3B%2Cc0%3B%3BBERNOULLI%20%27S%20EQUATION%3B%2Cc0%3B.t4%3B%2CBernoulli%20%27s%20principle%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20%27s%20principle%3B%2Cc0%3B%3BBernoulli%20%27s%20Principle%3B%2Cc0%3B%3BBERNOULLI%20%27S%20PRINCIPLE%3B%2Cc0%3B.t4%3B%2CBernoulli%20%27s%20theorem%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20%27s%20theorem%3B%2Cc0%3B%3BBernoulli%20%27s%20Theorem%3B%2Cc0%3B%3BBERNOULLI%20%27S%20THEOREM%3B%2Cc0
"\bBernoulli's principle","Bernoulli equation",https://books.google.com/ngrams/graph?content=Bernoulli+equation%2C+Bernoulli+principle%2C+Bernoulli+theorem%2CBernoulli%27s+equation%2C+Bernoulli%27s+principle%2C+Bernoulli%27s+theorem%2C&case_insensitive=on&year_start=1800&year_end=2010&corpus=15&smoothing=3&share=&direct_url=t4%3B%2CBernoulli%20equation%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20equation%3B%2Cc0%3B%3BBernoulli%20Equation%3B%2Cc0%3B.t4%3B%2CBernoulli%20principle%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20principle%3B%2Cc0%3B%3BBernoulli%20Principle%3B%2Cc0%3B.t4%3B%2CBernoulli%20theorem%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20theorem%3B%2Cc0%3B%3BBernoulli%20Theorem%3B%2Cc0%3B.t4%3B%2CBernoulli%20%27s%20equation%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20%27s%20equation%3B%2Cc0%3B%3BBernoulli%20%27s%20Equation%3B%2Cc0%3B%3BBERNOULLI%20%27S%20EQUATION%3B%2Cc0%3B.t4%3B%2CBernoulli%20%27s%20principle%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20%27s%20principle%3B%2Cc0%3B%3BBernoulli%20%27s%20Principle%3B%2Cc0%3B%3BBERNOULLI%20%27S%20PRINCIPLE%3B%2Cc0%3B.t4%3B%2CBernoulli%20%27s%20theorem%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20%27s%20theorem%3B%2Cc0%3B%3BBernoulli%20%27s%20Theorem%3B%2Cc0%3B%3BBERNOULLI%20%27S%20THEOREM%3B%2Cc0
"\bBernoulli's theorem","Bernoulli equation",https://books.google.com/ngrams/graph?content=Bernoulli+equation%2C+Bernoulli+principle%2C+Bernoulli+theorem%2CBernoulli%27s+equation%2C+Bernoulli%27s+principle%2C+Bernoulli%27s+theorem%2C&case_insensitive=on&year_start=1800&year_end=2010&corpus=15&smoothing=3&share=&direct_url=t4%3B%2CBernoulli%20equation%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20equation%3B%2Cc0%3B%3BBernoulli%20Equation%3B%2Cc0%3B.t4%3B%2CBernoulli%20principle%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20principle%3B%2Cc0%3B%3BBernoulli%20Principle%3B%2Cc0%3B.t4%3B%2CBernoulli%20theorem%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20theorem%3B%2Cc0%3B%3BBernoulli%20Theorem%3B%2Cc0%3B.t4%3B%2CBernoulli%20%27s%20equation%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20%27s%20equation%3B%2Cc0%3B%3BBernoulli%20%27s%20Equation%3B%2Cc0%3B%3BBERNOULLI%20%27S%20EQUATION%3B%2Cc0%3B.t4%3B%2CBernoulli%20%27s%20principle%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20%27s%20principle%3B%2Cc0%3B%3BBernoulli%20%27s%20Principle%3B%2Cc0%3B%3BBERNOULLI%20%27S%20PRINCIPLE%3B%2Cc0%3B.t4%3B%2CBernoulli%20%27s%20theorem%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20%27s%20theorem%3B%2Cc0%3B%3BBernoulli%20%27s%20Theorem%3B%2Cc0%3B%3BBERNOULLI%20%27S%20THEOREM%3B%2Cc0
"\bBernoulli theorem","Bernoulli equation",https://books.google.com/ngrams/graph?content=Bernoulli+equation%2C+Bernoulli+principle%2C+Bernoulli+theorem%2CBernoulli%27s+equation%2C+Bernoulli%27s+principle%2C+Bernoulli%27s+theorem%2C&case_insensitive=on&year_start=1800&year_end=2010&corpus=15&smoothing=3&share=&direct_url=t4%3B%2CBernoulli%20equation%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20equation%3B%2Cc0%3B%3BBernoulli%20Equation%3B%2Cc0%3B.t4%3B%2CBernoulli%20principle%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20principle%3B%2Cc0%3B%3BBernoulli%20Principle%3B%2Cc0%3B.t4%3B%2CBernoulli%20theorem%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20theorem%3B%2Cc0%3B%3BBernoulli%20Theorem%3B%2Cc0%3B.t4%3B%2CBernoulli%20%27s%20equation%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20%27s%20equation%3B%2Cc0%3B%3BBernoulli%20%27s%20Equation%3B%2Cc0%3B%3BBERNOULLI%20%27S%20EQUATION%3B%2Cc0%3B.t4%3B%2CBernoulli%20%27s%20principle%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20%27s%20principle%3B%2Cc0%3B%3BBernoulli%20%27s%20Principle%3B%2Cc0%3B%3BBERNOULLI%20%27S%20PRINCIPLE%3B%2Cc0%3B.t4%3B%2CBernoulli%20%27s%20theorem%3B%2Cc0%3B%2Cs0%3B%3BBernoulli%20%27s%20theorem%3B%2Cc0%3B%3BBernoulli%20%27s%20Theorem%3B%2Cc0%3B%3BBERNOULLI%20%27S%20THEOREM%3B%2Cc0
